Date,Close/Last,Volume,Open,High,Low
09/26/2024,$227.52,36636710,$227.30,$228.50,$225.41
09/25/2024,$226.37,42308720,$224.93,$227.29,$224.02
09/24/2024,$227.37,43556070,$228.645,$229.35,$225.73
09/23/2024,$226.47,54146020,$227.34,$229.45,$225.81
09/20/2024,$228.20,318679900,$229.97,$233.09,$227.62
09/19/2024,$228.87,66781320,$224.99,$229.82,$224.63
09/18/2024,$220.69,59894930,$217.55,$222.71,$217.54
09/17/2024,$216.79,45519340,$215.75,$216.90,$214.50
09/16/2024,$216.32,59357430,$216.54,$217.22,$213.92
09/13/2024,$222.50,36766620,$223.58,$224.04,$221.91
09/12/2024,$222.77,37498230,$222.50,$223.55,$219.82
09/11/2024,$222.66,44587070,$221.455,$223.09,$217.89
09/10/2024,$220.11,51591030,$218.92,$221.48,$216.73
09/09/2024,$220.91,67179970,$220.82,$221.27,$216.71
09/06/2024,$220.82,48423010,$223.95,$225.24,$219.77
09/05/2024,$222.38,36615400,$221.625,$225.48,$221.52
09/04/2024,$220.85,43840200,$221.66,$221.78,$217.48
09/03/2024,$222.77,50190570,$228.55,$229.00,$221.17
08/30/2024,$229.00,52990770,$230.19,$230.40,$227.48
08/29/2024,$229.79,51906300,$230.10,$232.92,$228.88
08/28/2024,$226.49,38052170,$227.92,$229.86,$225.68
08/27/2024,$228.03,35934560,$225.995,$228.85,$224.89
08/26/2024,$227.18,30602210,$226.76,$227.28,$223.8905
08/23/2024,$226.84,38677250,$225.659,$228.22,$224.33
08/22/2024,$224.53,43695320,$227.79,$228.34,$223.90
08/21/2024,$226.40,34765480,$226.52,$227.98,$225.05
08/20/2024,$226.51,30299030,$225.77,$227.17,$225.45
08/19/2024,$225.89,40687810,$225.72,$225.99,$223.04
08/16/2024,$226.05,44340240,$223.92,$226.8271,$223.6501
08/15/2024,$224.72,46414010,$224.60,$225.35,$222.76
08/14/2024,$221.72,41960570,$220.57,$223.03,$219.70
08/13/2024,$221.27,44155330,$219.01,$221.89,$219.01
08/12/2024,$217.53,38028090,$216.07,$219.5099,$215.60
08/09/2024,$216.24,42201650,$212.10,$216.78,$211.97
08/08/2024,$213.31,47161150,$213.11,$214.20,$208.83
08/07/2024,$209.82,63516420,$206.90,$213.64,$206.39
08/06/2024,$207.23,69660490,$205.30,$209.99,$201.07
08/05/2024,$209.27,119548600,$199.09,$213.50,$196.00
08/02/2024,$219.86,105568600,$219.15,$225.60,$217.71
08/01/2024,$218.36,62501000,$224.37,$224.48,$217.02
07/31/2024,$222.08,50036260,$221.44,$223.82,$220.63
07/30/2024,$218.80,41643840,$219.19,$220.325,$216.12
07/29/2024,$218.24,36311780,$216.96,$219.30,$215.75
07/26/2024,$217.96,41601350,$218.70,$219.49,$216.01
07/25/2024,$217.49,51391200,$218.93,$220.85,$214.62
07/24/2024,$218.54,61777580,$224.00,$224.80,$217.13
07/23/2024,$225.01,39960260,$224.365,$226.94,$222.68
07/22/2024,$223.96,48201840,$227.01,$227.78,$223.09
07/19/2024,$224.31,49151450,$224.82,$226.80,$223.275
07/18/2024,$224.18,66034590,$230.28,$230.44,$222.27
07/17/2024,$228.88,57345880,$229.45,$231.4599,$226.64
07/16/2024,$234.82,43234280,$235.00,$236.27,$232.33
07/15/2024,$234.40,62631250,$236.48,$237.23,$233.09
07/12/2024,$230.54,53046530,$228.92,$232.64,$228.68
07/11/2024,$227.57,64710620,$231.39,$232.39,$225.77
07/10/2024,$232.98,62627690,$229.30,$233.08,$229.25
07/09/2024,$228.68,48169820,$227.93,$229.40,$226.3721
07/08/2024,$227.82,59085860,$227.09,$227.85,$223.25
07/05/2024,$226.34,60412410,$221.65,$226.45,$221.65
07/03/2024,$221.55,37369800,$220.00,$221.55,$219.03
07/02/2024,$220.27,58046180,$216.15,$220.38,$215.10
07/01/2024,$216.75,60402930,$212.09,$217.51,$211.92
06/28/2024,$210.62,82542720,$215.77,$216.07,$210.30
