Date,Close/Last,Volume,Open,High,Low
08/16/2024,$226.05,44340240,$223.92,$226.8271,$223.6501
08/15/2024,$224.72,46414010,$224.60,$225.35,$222.76
08/14/2024,$221.72,41960570,$220.57,$223.03,$219.70
08/13/2024,$221.27,44155330,$219.01,$221.89,$219.01
08/12/2024,$217.53,38028090,$216.07,$219.5099,$215.60
08/09/2024,$216.24,42201650,$212.10,$216.78,$211.97
08/08/2024,$213.31,47161150,$213.11,$214.20,$208.83
08/07/2024,$209.82,63516420,$206.90,$213.64,$206.39
08/06/2024,$207.23,69660490,$205.30,$209.99,$201.07
08/05/2024,$209.27,119548600,$199.09,$213.50,$196.00
08/02/2024,$219.86,105568600,$219.15,$225.60,$217.71
08/01/2024,$218.36,62501000,$224.37,$224.48,$217.02
07/31/2024,$222.08,50036260,$221.44,$223.82,$220.63
07/30/2024,$218.80,41643840,$219.19,$220.325,$216.12
07/29/2024,$218.24,36311780,$216.96,$219.30,$215.75
07/26/2024,$217.96,41601350,$218.70,$219.49,$216.01
07/25/2024,$217.49,51391200,$218.93,$220.85,$214.62
07/24/2024,$218.54,61777580,$224.00,$224.80,$217.13
07/23/2024,$225.01,39960260,$224.365,$226.94,$222.68
07/22/2024,$223.96,48201840,$227.01,$227.78,$223.09
07/19/2024,$224.31,49151450,$224.82,$226.80,$223.275
07/18/2024,$224.18,66034590,$230.28,$230.44,$222.27
07/17/2024,$228.88,57345880,$229.45,$231.4599,$226.64
